First Name,Last Name,Face,Name,Truth
Koyo,Aoyagi,Asian,Asian,Asian
Jerry,Tuwai,Black,Black,Black
Hideto,Asamura,Other,Asian,Asian
Momiji,Nishiya,Asian,Asian,Asian
Kevin,Durant,Black,Black,Black
Hidilyn,Diaz,Asian,Other,Asian
Milica,Mandic,Other,White,Other
April,Ross,White,Black,White
Yang,Liu,Asian,Asian,Asian
Primoz,Roglic,White,White,White
Miltiadis,Tentoglou,Other,White,White
Yasuaki,Yamasaki,Other,Asian,Asian
Florian,Wellbrock,White,White,White
Hiromi,Itoh,Asian,Asian,Asian
Hansle,Parchment,Black,Black,Black
Jolanda,Neff,White,White,White
Woojin,Kim,Asian,Asian,Asian
Munetaka,Murakami,Asian,Asian,Asian
Yuki,Yanagita,Asian,Asian,Asian
Yuto,Horigome,White,Asian,Asian
Yoshinobu,Yamamoto,Asian,Asian,Asian
Lasha,Talakhadze,White,White,White
Gianmarco,Tamberi,White,White,White
Ryan,Crouser,Asian,White,White
Nina,Derwael,White,White,White
Neeraj,Chopra,Other,Asian,Other
Hamish,Bond,White,Black,White
Viktor,Axelsen,White,White,White
Eliud,Kipchoge,Black,Black,Black
Damian,Warner,Black,White,Black
Andrey,Rublev,White,White,White
Ryosuke,Kikuchi,Asian,Asian,Asian
Mete,Gazoz,White,White,Other
Niek,Kimmann,White,White,White
Takuya,Kai,Asian,Asian,Asian
Valent,Sinkovic,White,White,White
Pedro,P.,Black,Other,Black
Kensuke,Kondoh,Asian,Asian,Asian
Steven,Gardiner,Black,White,Black
Kaima,Taira,Asian,Asian,Asian
Isaquias,Queiroz,Other,Other,Other
Yiwen,Sun,Asian,Asian,Asian
Maksim,Khramtcov,White,White,White
Artem,Dolgopyat,Other,White,White
Mutaz,Essa,Black,White,Black
Karsten,Warholm,White,White,White
Richarlison,De,Other,Asian,Other
Armand,Duplantis,White,White,White
Abdulrashid,Sadulaev,Other,White,Other
Naohisa,Takato,Asian,Asian,Asian
Emma,Twigg,White,White,White
Panipak,Wongpattanakit,Asian,Asian,Asian
Xiaojun,Lyu,Asian,Asian,Asian
Masataka,Yoshida,Asian,Asian,Asian
Chenchen,Guan,Asian,Asian,Asian
Yulimar,Rojas,Other,Other,Other
Alberto,Gines,White,Other,Other
Jasmine,Camacho-quinn,Black,Black,Black
Tetsuto,Yamada,Asian,Asian,Asian
Carissa,Moore,Other,Black,Other
Jonathan,Brownlee,White,Black,White
Josua,Vakurunabili,Black,White,Black
Martin,Sinkovic,White,White,White
Yukiko,Ueno,Asian,Asian,Asian
Max,Whitlock,White,White,White
Filip,Filipovic,White,White,White
Anita,Wlodarczyk,White,White,White
Mariya,Lasitskene,Other,White,White
Ryoya,Kurihara,Asian,Asian,Asian
Portia,Woodman,Asian,Black,White
Masato,Morishita,Asian,Asian,Asian
Martine,Grael,White,Black,White
Luc,Abalo,Black,Black,Black
Selemon,Barega,Black,Black,Black
Alberto,Fernandez,Asian,Other,White
Dawid,Tomala,White,White,White
Yudai,Ohno,Asian,Asian,Asian
Seiya,Suzuki,Asian,Asian,Asian
Shaunae,Miller-uibo,Black,Black,Black
Risako,Kawai,Asian,Asian,Asian
Wojciech,Nowicki,White,White,White
Keegan,Palmer,White,White,White
Madeline,Musselman,White,White,White
Nafissatou,Thiam,Other,Black,Black
Ashleigh,Johnson,Black,Black,Black
Flora,Duffy,White,White,White
Ryoji,Kuribayashi,Asian,Asian,Asian
Janja,Garnbret,White,White,White
Massimo,Stano,Other,White,Other
Musa,Evloev,White,White,White
Maude,Garon,White,Black,White
Zach,Lavine,Other,White,White
Lilly,King,White,Black,White
Regan,Smith,Other,Black,White
Xuechen,Huang,Asian,Asian,Asian
Elena,Osipova,White,White,White
Wenyan,Sun,Asian,Asian,Asian
Ruoteng,Xiao,Asian,Asian,Asian
Kyle,Chalmers,White,White,White
Penny,Oleksiak,White,White,White
Gabrielle,Thomas,Black,Black,Black
Dimitrij,Ovtcharov,White,White,White
Abbey,Weitzeil,White,White,White
Simone,Biles,Black,Black,Black
Taylor,Madison,White,Black,White
Kazuma,Kaya,Asian,Asian,Asian
Kliment,Kolesnikov,White,White,White
Thomas,Ceccon,Other,White,Other
Laura,Asadauskaite,White,White,Other
Anthony,Zambrano,Black,Other,Other
Lamecha,Girma,Black,Black,Black
Jennifer,Abel,Black,White,Black
Long,Chen,Asian,Asian,Asian
Jack,Mcloughlin,White,White,White
Ana,Maria,White,Other,White
Kelvin,Hoefler,Other,White,Other
Daniel,Dhers,White,Black,White
Timothy,Cheruiyot,Black,Black,Black
Idalys,Ortiz,Black,Other,Black
Xijing,Tang,Asian,Asian,Asian
Tzu,Ying,Asian,Asian,Asian
Eivind,Henriksen,White,White,White
Anastasiia,Tatareva,White,White,White
Joe,Kovacs,White,White,White
Shiwen,Liu,Asian,Asian,Asian
Jakub,Vadlejch,White,White,White
Mykayla,Skinner,White,White,White
Ksenia,Perova,White,White,White
Takeru,Kitazono,Asian,Asian,Asian
Teresa,Portela,White,Other,Other
Laura,Muir,White,White,White
Anastasiia,Maksimova,White,White,White
Richard,Schmidt,White,White,White
Ravi,Kumar,Other,Asian,Other
Daniele,Garozzo,Other,White,White
Pat,Mccormack,White,White,White
Luis,Javier,Asian,Other,Other
Dina,Averina,White,White,White
Mikkel,Hansen,White,White,White
Ysaora,Thibus,Other,Other,Other
Anastasiia,Iliankova,Other,White,White
Hellen,Onsando,Black,Black,Black
Chih,Kai,Asian,Asian,Asian
Gregorio,Paltrinieri,White,Other,White
Ferguson,Cheruiyot,Black,Black,Black
Christopher,Nilsen,White,White,White
Fred,Kerley,Black,White,Black
Cat,Osterman,Other,White,White
Kyle,Frederick,White,White,White
Aisen,Chen,Asian,Asian,Asian
Jordan,Chiles,Asian,Black,Black
Monica,Abbott,Other,White,White
Kanoa,Igarashi,Asian,Asian,Asian
Kasumi,Ishikawa,Asian,Asian,Asian
Chanu,Saikhom,Asian,Asian,Asian
Kenneth,Bednarek,Black,White,Black
Tin,Srbic,White,White,White
Nathaniel,Coleman,White,Black,White
Christine,Mboma,Black,Black,Black
Saul,Craviotto,Other,Other,White
Miho,Nonaka,Asian,Asian,Asian
Marketa,Vondrousova,White,White,White
Tina,Trstenjak,Other,White,White
Rudy,Gobert,Other,Black,Black
Hao,You,Asian,Asian,Asian
Kalkidan,Gezahegne,Other,Black,Black
Simon,Pettersson,White,White,White
Koki,Ikeda,Asian,Asian,Asian
Anzhelika,Sidorova,White,White,White
Dong,Dong,Asian,Asian,Asian
Lukas,Dauser,White,White,White
Kokona,Hiraki,Asian,Asian,Asian
Mohammed,Ahmed,Black,Asian,Black
Wataru,Tanigawa,Asian,Asian,Asian
Timo,Boll,White,White,White
Miu,Hirano,Asian,Asian,Asian
Jonathan,Hilbert,White,White,White
Bianca,Buitendag,Other,Other,White
Grant,Holloway,Black,Black,Black
Gabriela,Bayardo,Other,Other,Other
Steve,Wijler,Other,White,White
Yaming,Zhu,Asian,Asian,Asian
Juan,Miguel,Black,Other,Other
Mauro,Nespoli,White,White,Other
Abdi,Nageeye,Black,Black,Black
Elena,Vesnina,White,White,White
Brittney,Reese,Black,Black,Black
Grace,Mccallum,White,Black,White
Florent,Manaudou,Other,Black,White
Rayssa,Leal,Black,Other,White
Mariana,Pajón,Other,Other,Other
Kendra,Harrison,Black,Black,Black
Adriana,Cerezo,Other,Other,Other
Kevin,Mayer,Other,White,White
Kjetil,Borch,White,White,White
Rayderley,Miguel,Black,Other,Other
Vanessa,Ferrari,White,White,Other
Pedro,Barros,Other,Other,Other
Charlotte,Dujardin,White,White,White
Emma,Jorgensen,White,White,White
Takaharu,Furukawa,Asian,Asian,Asian
Anastasiya,Savchuk,White,White,White
Marta,Fiedina,Black,Other,White
Nicolo,Martinenghi,Other,White,Other
Ferhat,Arican,Other,White,Other
Lisa,Unruh,White,White,White
Simone,Manuel,Black,Black,Black
Toshikazu,Yamanishi,Asian,Asian,Asian
Florian,Wellbrock,White,White,White
Luis,Alvarez,Other,Other,Other
Race,Imboden,White,White,White
Patty,Mills,Black,Black,Black
Noah,Lyles,Black,Black,Black
Mack,Horton,White,Black,White
Irma,Testa,Other,Other,White
Daryll,Neita,Black,Black,Black
Lovlina,Borgohain,Other,Asian,Other
Ana,Peleteiro,Black,Other,Black
Ashley,Moloney,White,White,White
Dylan,Schmidt,White,White,White
Megan,Rapinoe,White,White,White
Benjamin,Kigen,Black,Black,Black
Thiago,Braz,White,Other,Other
Patryk,Dobek,White,White,White
Ronald,Levy,Black,White,Black
Lucilla,Boari,White,White,White
Pawel,Fajdek,White,White,White
Maksim,Nedasekau,White,White,White
Owen,Wright,White,Black,White
Manpreet,Singh,Asian,Asian,Other
Artur,Davtyan,Other,White,Other
Melissa,Wu,Other,Asian,Asian
Ashleigh,Barty,White,White,White
Paul,Kipkemoi,Black,Black,Black
Asha,Philip,Black,Asian,Black
Helen,Louise,White,Black,White
Bashir,Abdi,Asian,Black,Black
Anna,Van,White,Asian,White
Elijah,Winnington,White,Black,White
Tomas,Walsh,White,White,White
Sideris,Tasiadis,Other,White,Other
Alejandra,Valencia,White,Other,Other
Tomokazu,Harimoto,Asian,Asian,Asian
Yeldos,Smetov,Asian,White,Asian
Valerie,Adams,Asian,Black,Other
Carli,Lloyd,White,Black,White
Dina,Asher-smith,Black,White,Black
Funa,Nakayama,Asian,Asian,Asian
Tadej,Pogacar,White,White,White
Alexander,Massialas,Asian,Other,White
Cory,Juneau,White,White,White
Josh,Kerr,White,White,White
Seojeong,Yeo,Asian,Asian,Asian
Bruno,Fratus,Asian,White,Other
Pusarla,Venkata,Asian,Asian,Other
Anthony,Sinisuka,Asian,Black,Asian
Fabrice,Zango,Black,Black,Black
Yaroslava,Mahuchikh,White,White,White
Sebastian,Brendel,White,White,White
Bryony,Page,White,Black,White
Rossella,Fiamingo,White,Other,Other
Evan,Dunfee,White,White,White
Letesenbet,Gidey,Asian,Black,Black
Alice,Kinsella,White,White,White
Jagger,Eaton,White,White,White
Kirani,James,Black,Black,Black
Jacob,Kiplimo,Black,Black,Black
Sky,Brown,Asian,Black,White
Jack,Laugher,White,White,White
Eleftherios,Petrounias,White,White,White
Bianca,Walkden,Other,White,White
Lydia,Ko,Asian,Asian,Asian
Alexandra,Patricia,White,Other,White
Gregorio,Paltrinieri,White,Other,White
Chloe,Dygert,White,White,White
Mai,Murakami,Asian,Asian,Asian
Maykel,Masso,Black,Other,Black
Alison,Dos,Asian,White,Black
Jessica,Gadirova,Other,White,White
Vitezslav,Vesely,White,White,White
Dušan,Domovic,Other,White,White
Megan,Tapper,Black,White,Black
Lukas,Weisshaidinger,White,White,White
Damir,Martin,White,White,White
Pernille,Blume,White,White,White
Marcos,Moneta,White,Other,White
